Activity Period Start Date;GEO Summary;Activity Type Code;Cargo Metici TONs;Year;Month No;Month Name;graphica.com.frequency (1);graphica.com.clusters (1)
"Sun, 01 Jan 2017 00:00:00 GMT";"International";"Deplaned";39000;"2017";4;"January";4;"cluster 1"
"Wed, 01 Feb 2017 00:00:00 GMT";"International";"Deplaned";37002;"2017";8;"February";4;"cluster 1"
"Wed, 01 Mar 2017 00:00:00 GMT";"International";"Deplaned";47140;"2017";12;"March";4;"cluster 1"
"Sat, 01 Apr 2017 00:00:00 GMT";"International";"Deplaned";47301;"2017";16;"April";4;"cluster 1"
"Mon, 01 May 2017 00:00:00 GMT";"Domestic";"Deplaned";51960;"2017";20;"May";4;"cluster 1"
"Thu, 01 Jun 2017 00:00:00 GMT";"International";"Deplaned";50609;"2017";24;"June";4;"cluster 1"
"Sat, 01 Jul 2017 00:00:00 GMT";"International";"Deplaned";50762;"2017";28;"July";4;"cluster 1"
"Tue, 01 Aug 2017 00:00:00 GMT";"International";"Deplaned";48188;"2017";32;"August";4;"cluster 1"
"Fri, 01 Sep 2017 00:00:00 GMT";"International";"Deplaned";47002;"2017";36;"September";4;"cluster 1"
"Sun, 01 Oct 2017 00:00:00 GMT";"International";"Deplaned";47068;"2017";40;"October";4;"cluster 1"
"Wed, 01 Nov 2017 00:00:00 GMT";"International";"Deplaned";46808;"2017";44;"November";4;"cluster 1"
"Fri, 01 Dec 2017 00:00:00 GMT";"International";"Deplaned";48966;"2017";48;"December";4;"cluster 1"
"Mon, 01 Jan 2018 00:00:00 GMT";"International";"Deplaned";39921;"2018";4;"January";4;"cluster 1"
"Thu, 01 Feb 2018 00:00:00 GMT";"International";"Deplaned";38488;"2018";8;"February";4;"cluster 1"
"Thu, 01 Mar 2018 00:00:00 GMT";"International";"Deplaned";47834;"2018";12;"March";4;"cluster 1"
"Sun, 01 Apr 2018 00:00:00 GMT";"International";"Deplaned";46269;"2018";16;"April";4;"cluster 1"
"Tue, 01 May 2018 00:00:00 GMT";"International";"Deplaned";49903;"2018";20;"May";4;"cluster 1"
"Fri, 01 Jun 2018 00:00:00 GMT";"International";"Deplaned";49931;"2018";24;"June";4;"cluster 1"
"Sun, 01 Jul 2018 00:00:00 GMT";"International";"Deplaned";50381;"2018";28;"July";4;"cluster 1"
"Wed, 01 Aug 2018 00:00:00 GMT";"International";"Deplaned";48785;"2018";32;"August";4;"cluster 1"
"Sat, 01 Sep 2018 00:00:00 GMT";"International";"Deplaned";48020;"2018";36;"September";4;"cluster 1"
"Mon, 01 Oct 2018 00:00:00 GMT";"International";"Deplaned";50495;"2018";40;"October";4;"cluster 1"
"Thu, 01 Nov 2018 00:00:00 GMT";"International";"Deplaned";50011;"2018";44;"November";4;"cluster 1"
"Sat, 01 Dec 2018 00:00:00 GMT";"International";"Deplaned";51299;"2018";48;"December";4;"cluster 1"
"Tue, 01 Jan 2019 00:00:00 GMT";"International";"Deplaned";43526;"2019";4;"January";4;"cluster 1"
"Fri, 01 Feb 2019 00:00:00 GMT";"International";"Deplaned";38983;"2019";8;"February";4;"cluster 1"
"Fri, 01 Mar 2019 00:00:00 GMT";"International";"Deplaned";48920;"2019";12;"March";4;"cluster 1"
"Mon, 01 Apr 2019 00:00:00 GMT";"International";"Deplaned";41634;"2019";16;"April";4;"cluster 1"
"Wed, 01 May 2019 00:00:00 GMT";"Domestic";"Deplaned";45280;"2019";20;"May";4;"cluster 1"
"Sat, 01 Jun 2019 00:00:00 GMT";"International";"Deplaned";47124;"2019";24;"June";4;"cluster 1"
"Mon, 01 Jul 2019 00:00:00 GMT";"International";"Deplaned";47530;"2019";28;"July";4;"cluster 1"
"Thu, 01 Aug 2019 00:00:00 GMT";"International";"Deplaned";54383;"2019";32;"August";4;"cluster 1"
"Sun, 01 Sep 2019 00:00:00 GMT";"International";"Deplaned";42204;"2019";36;"September";4;"cluster 1"
"Tue, 01 Oct 2019 00:00:00 GMT";"International";"Deplaned";45338;"2019";40;"October";4;"cluster 1"
"Fri, 01 Nov 2019 00:00:00 GMT";"International";"Deplaned";44682;"2019";44;"November";4;"cluster 1"
"Sun, 01 Dec 2019 00:00:00 GMT";"International";"Deplaned";46810;"2019";48;"December";4;"cluster 1"
"Wed, 01 Jan 2020 00:00:00 GMT";"International";"Deplaned";40086;"2020";4;"January";4;"cluster 1"
"Sat, 01 Feb 2020 00:00:00 GMT";"International";"Deplaned";37326;"2020";8;"February";4;"cluster 1"
"Sun, 01 Mar 2020 00:00:00 GMT";"International";"Deplaned";37834;"2020";12;"March";4;"cluster 1"
"Wed, 01 Apr 2020 00:00:00 GMT";"International";"Deplaned";26645;"2020";16;"April";4;"cluster 1"
"Fri, 01 May 2020 00:00:00 GMT";"International";"Deplaned";33431;"2020";20;"May";4;"cluster 1"
"Mon, 01 Jun 2020 00:00:00 GMT";"International";"Deplaned";33794;"2020";24;"June";4;"cluster 1"
"Wed, 01 Jul 2020 00:00:00 GMT";"International";"Deplaned";34684;"2020";28;"July";4;"cluster 1"
"Sat, 01 Aug 2020 00:00:00 GMT";"International";"Deplaned";36840;"2020";32;"August";4;"cluster 1"
